
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00406";="-0.00327";="-0.00363";="-0.00417"
="";="(-0.72)";="(-0.59)";="(-0.66)";="(-0.76)"
="NGDP_RPCH";="0.00401";="-0.00183";="-0.00639";="-0.00385"
="";="(0.19)";="(-0.08)";="(-0.29)";="(-0.17)"
="ExtDebtPercGNI_Var";="-0.00582";="-0.00519";="-0.00594";="-0.00612"
="";="(-1.50)";="(-1.32)";="(-1.57)";="(-1.59)"
="GGSB_NPGDP";="-0.0283";="-0.0323";="-0.0322";="-0.0271"
="";="(-0.76)";="(-0.89)";="(-0.88)";="(-0.73)"
="PCPIPCH";="-0.00605";="-0.00695";="-0.00755";="-0.00599"
="";="(-0.74)";="(-0.80)";="(-0.83)";="(-0.70)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.222";="";="";=""
="";="(1.28)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.448**";="";=""
="";="";="(2.20)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.515**";=""
="";="";="";="(2.05)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.509*"
="";="";="";="";="(1.78)"

="cut1";="";="";="";=""
="Const";="0.742***";="0.804***";="0.839***";="0.876***"
="";="(4.06)";="(4.39)";="(4.39)";="(4.16)"

="cut2";="";="";="";=""
="Const";="1.981***";="2.047***";="2.082***";="2.113***"
="";="(9.09)";="(9.59)";="(9.31)";="(8.87)"

="sigma2_u";="";="";="";=""
="Const";="0.716***";="0.654***";="0.628***";="0.617***"
="";="(3.27)";="(3.21)";="(3.22)";="(3.17)"

="Observations";="926";="926";="926";="926"
="r2_mf";="0.00781";="0.0129";="0.0143";="0.0123"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
