
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00991";="-0.00982";="-0.00989";="-0.01000"
="";="(-1.06)";="(-1.04)";="(-1.05)";="(-1.09)"
="NGDP_RPCH";="0.0442";="0.0436";="0.0427";="0.0482"
="";="(1.26)";="(1.24)";="(1.18)";="(1.32)"
="ExtDebtPercGNI_Var";="-0.00601";="-0.00620";="-0.00622";="-0.00600"
="";="(-0.82)";="(-0.86)";="(-0.85)";="(-0.83)"
="BudgetBal_NGDP_Var";="0.0000783";="0.0000781";="0.0000789";="0.0000756"
="";="(0.54)";="(0.54)";="(0.55)";="(0.52)"
="PCPIPCH";="0.0212";="0.0210";="0.0202";="0.0254"
="";="(0.43)";="(0.43)";="(0.40)";="(0.51)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.108";="";="";=""
="";="(0.28)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.115";="";=""
="";="";="(0.26)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0989";=""
="";="";="";="(0.27)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.193"
="";="";="";="";="(-0.42)"
="Const";="-1.663***";="-1.665***";="-1.662***";="-1.637***"
="";="(-4.49)";="(-4.50)";="(-4.55)";="(-4.49)"

="lnsig2u";="";="";="";=""
="Const";="0.101";="0.101";="0.0991";="0.133"
="";="(0.30)";="(0.30)";="(0.29)";="(0.38)"

="Observations";="555";="555";="555";="555"
="r2_mf";="0.0112";="0.0113";="0.0113";="0.0121"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
