
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00858";="-0.00848";="-0.00855";="-0.00864"
="";="(-0.91)";="(-0.89)";="(-0.89)";="(-0.93)"
="NGDP_RPCH";="0.0476";="0.0469";="0.0460";="0.0520"
="";="(1.40)";="(1.38)";="(1.31)";="(1.47)"
="ExtDebtPercGNI_Var";="-0.00689";="-0.00709";="-0.00712";="-0.00686"
="";="(-0.87)";="(-0.91)";="(-0.91)";="(-0.88)"
="GGXWDN_NGDP_Var";="0.0000147*";="0.0000147*";="0.0000149*";="0.0000149*"
="";="(1.72)";="(1.72)";="(1.74)";="(1.76)"
="PCPIPCH";="0.0193";="0.0191";="0.0181";="0.0239"
="";="(0.39)";="(0.38)";="(0.35)";="(0.47)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.103";="";="";=""
="";="(0.27)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.116";="";=""
="";="";="(0.26)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.105";=""
="";="";="";="(0.28)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.219"
="";="";="";="";="(-0.48)"
="Const";="-1.677***";="-1.679***";="-1.677***";="-1.648***"
="";="(-4.52)";="(-4.53)";="(-4.57)";="(-4.51)"

="lnsig2u";="";="";="";=""
="Const";="0.142";="0.142";="0.140";="0.176"
="";="(0.41)";="(0.41)";="(0.41)";="(0.51)"

="Observations";="555";="555";="555";="555"
="r2_mf";="0.0132";="0.0133";="0.0133";="0.0143"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
