
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0170*";="-0.0170*";="-0.0172*";="-0.0160*"
="";="(-1.89)";="(-1.89)";="(-1.90)";="(-1.75)"
="NGDP_RPCH";="0.0233";="0.0238";="0.0225";="0.0246"
="";="(0.51)";="(0.53)";="(0.49)";="(0.54)"
="ExtDebtPercGNI_Var";="0.000364";="0.000358";="0.000484";="0.000486"
="";="(0.10)";="(0.09)";="(0.13)";="(0.13)"
="BudgetBal_NGDP_Var";="0.00000898";="0.00000360";="0.00000467";="0.00000924"
="";="(0.57)";="(0.23)";="(0.29)";="(0.57)"
="PCPIPCH";="0.0622*";="0.0648*";="0.0664*";="0.0739*"
="";="(1.85)";="(1.86)";="(1.80)";="(1.86)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.617";="";="";=""
="";="(1.41)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.359";="";=""
="";="";="(0.84)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.265";=""
="";="";="";="(0.80)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.541"
="";="";="";="";="(-1.53)"
="Const";="-1.886***";="-1.865***";="-1.873***";="-1.714***"
="";="(-5.31)";="(-5.23)";="(-5.18)";="(-5.02)"

="lnsig2u";="";="";="";=""
="Const";="0.387";="0.377";="0.397";="0.350"
="";="(1.16)";="(1.14)";="(1.19)";="(1.07)"

="Observations";="759";="759";="759";="759"
="r2_mf";="0.0235";="0.0212";="0.0208";="0.0251"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
