
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0187*";="-0.0187*";="-0.0192*";="-0.0181*"
="";="(-1.85)";="(-1.86)";="(-1.88)";="(-1.80)"
="NGDP_RPCH";="0.0238";="0.0253";="0.0232";="0.0282"
="";="(0.42)";="(0.45)";="(0.41)";="(0.51)"
="ExtDebtPercGNI_Var";="-0.000942";="-0.000916";="-0.000829";="-0.000897"
="";="(-0.20)";="(-0.19)";="(-0.17)";="(-0.19)"
="GGSB_NPGDP";="-0.00774";="-0.00975";="-0.0104";="-0.0115"
="";="(-0.17)";="(-0.21)";="(-0.22)";="(-0.25)"
="PCPIPCH";="0.0693";="0.0738";="0.0764";="0.0858*"
="";="(1.57)";="(1.62)";="(1.59)";="(1.70)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.715*";="";="";=""
="";="(1.67)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.423";="";=""
="";="";="(1.01)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.332";=""
="";="";="";="(1.00)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.316"
="";="";="";="";="(-1.05)"
="Const";="-1.966***";="-1.952***";="-1.970***";="-1.838***"
="";="(-4.74)";="(-4.66)";="(-4.60)";="(-4.61)"

="lnsig2u";="";="";="";=""
="Const";="0.491";="0.479";="0.508";="0.428"
="";="(1.42)";="(1.40)";="(1.46)";="(1.25)"

="Observations";="689";="689";="689";="689"
="r2_mf";="0.0264";="0.0236";="0.0231";="0.0231"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
