
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0112";="-0.0112";="-0.0110";="-0.0101"
="";="(-1.44)";="(-1.44)";="(-1.41)";="(-1.30)"
="NGDP_RPCH";="0.0559";="0.0559";="0.0583*";="0.0542"
="";="(1.61)";="(1.63)";="(1.71)";="(1.62)"
="ExtDebtPercGNI_Var";="0.00514";="0.00509";="0.00489";="0.00540"
="";="(1.20)";="(1.17)";="(1.06)";="(1.26)"
="BudgetBal_NGDP_Var";="0.000189**";="0.000189**";="0.000186**";="0.000190**"
="";="(2.34)";="(2.35)";="(2.32)";="(2.37)"
="PCPIPCH";="-0.0497";="-0.0509";="-0.0529";="-0.0517"
="";="(-1.59)";="(-1.60)";="(-1.61)";="(-1.55)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.855*";="";="";=""
="";="(-1.88)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.739*";="";=""
="";="";="(-1.69)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.765***";=""
="";="";="";="(-2.90)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.509"
="";="";="";="";="(-1.38)"
="Const";="-0.703**";="-0.701**";="-0.670**";="-0.649**"
="";="(-2.56)";="(-2.54)";="(-2.46)";="(-2.41)"

="lnsig2u";="";="";="";=""
="Const";="0.516";="0.497";="0.510";="0.443"
="";="(1.37)";="(1.34)";="(1.41)";="(1.25)"

="Observations";="795";="795";="795";="795"
="r2_mf";="0.0324";="0.0316";="0.0332";="0.0300"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
