
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00749";="-0.00723";="-0.00785";="-0.00822"
="";="(-0.86)";="(-0.84)";="(-0.93)";="(-0.94)"
="NGDP_RPCH";="-0.0412";="-0.0419";="-0.0392";="-0.0370"
="";="(-1.48)";="(-1.53)";="(-1.40)";="(-1.26)"
="ExtDebtPercGNI_Var";="-0.00530";="-0.00555";="-0.00530";="-0.00532"
="";="(-0.80)";="(-0.82)";="(-0.77)";="(-0.78)"
="GGXWDG_NGDP_Var";="-0.00208";="-0.00180";="-0.00209";="-0.00235"
="";="(-0.35)";="(-0.30)";="(-0.35)";="(-0.42)"
="PCPIPCH";="-0.0375";="-0.0384";="-0.0357";="-0.0327"
="";="(-1.06)";="(-1.07)";="(-0.97)";="(-0.89)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.533";="";="";=""
="";="(1.05)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.403";="";=""
="";="";="(0.83)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0506";=""
="";="";="";="(0.14)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.100"
="";="";="";="";="(-0.26)"
="Const";="-1.246***";="-1.232***";="-1.198***";="-1.181***"
="";="(-4.83)";="(-4.89)";="(-4.91)";="(-4.87)"

="lnsig2u";="";="";="";=""
="Const";="0.472";="0.453";="0.442";="0.461"
="";="(1.62)";="(1.54)";="(1.46)";="(1.49)"

="Observations";="773";="773";="773";="773"
="r2_mf";="0.0170";="0.0159";="0.0129";="0.0131"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
