
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00657";="-0.00636";="-0.00692";="-0.00724"
="";="(-0.77)";="(-0.76)";="(-0.84)";="(-0.84)"
="NGDP_RPCH";="-0.0367";="-0.0381";="-0.0347";="-0.0318"
="";="(-1.38)";="(-1.46)";="(-1.31)";="(-1.17)"
="ExtDebtPercGNI_Var";="-0.00542";="-0.00569";="-0.00542";="-0.00543"
="";="(-0.83)";="(-0.86)";="(-0.81)";="(-0.82)"
="GGXWDN_NGDP_Var";="0.0000181***";="0.0000181***";="0.0000181***";="0.0000184***"
="";="(4.40)";="(4.41)";="(4.34)";="(3.84)"
="PCPIPCH";="-0.0379";="-0.0388";="-0.0361";="-0.0330"
="";="(-1.06)";="(-1.08)";="(-0.97)";="(-0.89)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.534";="";="";=""
="";="(1.06)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.409";="";=""
="";="";="(0.85)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0542";=""
="";="";="";="(0.15)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.103"
="";="";="";="";="(-0.25)"
="Const";="-1.267***";="-1.250***";="-1.219***";="-1.204***"
="";="(-4.98)";="(-5.03)";="(-5.01)";="(-4.88)"

="lnsig2u";="";="";="";=""
="Const";="0.470";="0.452";="0.440";="0.460"
="";="(1.61)";="(1.55)";="(1.45)";="(1.48)"

="Observations";="773";="773";="773";="773"
="r2_mf";="0.0183";="0.0173";="0.0142";="0.0144"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
