
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00868";="-0.00845";="-0.00898";="-0.00929"
="";="(-0.89)";="(-0.88)";="(-0.96)";="(-0.96)"
="NGDP_RPCH";="-0.0314";="-0.0324";="-0.0294";="-0.0271"
="";="(-0.87)";="(-0.92)";="(-0.83)";="(-0.75)"
="ExtDebtPercGNI_Var";="-0.00588";="-0.00622";="-0.00580";="-0.00575"
="";="(-0.76)";="(-0.78)";="(-0.73)";="(-0.73)"
="GGSB_NPGDP";="-0.0264";="-0.0294";="-0.0255";="-0.0240"
="";="(-0.45)";="(-0.51)";="(-0.44)";="(-0.42)"
="PCPIPCH";="-0.0259";="-0.0269";="-0.0239";="-0.0210"
="";="(-0.69)";="(-0.71)";="(-0.60)";="(-0.52)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.597";="";="";=""
="";="(1.18)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.468";="";=""
="";="";="(0.95)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0775";=""
="";="";="";="(0.21)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0569"
="";="";="";="";="(-0.13)"
="Const";="-1.393***";="-1.383***";="-1.330***";="-1.313***"
="";="(-4.14)";="(-4.15)";="(-4.06)";="(-3.94)"

="lnsig2u";="";="";="";=""
="Const";="0.527*";="0.507*";="0.484";="0.495"
="";="(1.84)";="(1.77)";="(1.61)";="(1.59)"

="Observations";="710";="710";="710";="710"
="r2_mf";="0.0190";="0.0179";="0.0139";="0.0139"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
