
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0106*";="-0.0102*";="-0.0106*";="-0.0107*"
="";="(-1.81)";="(-1.75)";="(-1.81)";="(-1.82)"
="NGDP_RPCH";="0.000831";="-0.00209";="0.000398";="0.00240"
="";="(0.03)";="(-0.07)";="(0.01)";="(0.08)"
="ExtDebtPercGNI_Var";="-0.0146**";="-0.0148**";="-0.0147**";="-0.0146**"
="";="(-2.09)";="(-2.08)";="(-2.06)";="(-2.08)"
="BudgetBal_NGDP_Var";="0.000107";="0.000106";="0.000108";="0.000108"
="";="(1.41)";="(1.42)";="(1.43)";="(1.43)"
="PCPIPCH";="-0.00728";="-0.0104";="-0.00742";="-0.00598"
="";="(-0.26)";="(-0.35)";="(-0.25)";="(-0.21)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.0727";="";="";=""
="";="(0.18)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.326";="";=""
="";="";="(0.69)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0469";=""
="";="";="";="(0.09)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0677"
="";="";="";="";="(-0.19)"
="Const";="-0.962***";="-0.980***";="-0.960***";="-0.947***"
="";="(-3.85)";="(-3.92)";="(-3.81)";="(-3.77)"

="lnsig2u";="";="";="";=""
="Const";="0.528";="0.518";="0.528";="0.539"
="";="(1.50)";="(1.49)";="(1.49)";="(1.49)"

="Observations";="746";="746";="746";="746"
="r2_mf";="0.0151";="0.0166";="0.0151";="0.0152"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
