
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00883";="-0.00824";="-0.00884";="-0.00906"
="";="(-1.35)";="(-1.28)";="(-1.35)";="(-1.36)"
="NGDP_RPCH";="0.00868";="0.00625";="0.00823";="0.0104"
="";="(0.34)";="(0.24)";="(0.31)";="(0.39)"
="ExtDebtPercGNI_Var";="-0.0147**";="-0.0150**";="-0.0148**";="-0.0148**"
="";="(-2.06)";="(-2.06)";="(-2.04)";="(-2.06)"
="GGXWDG_NGDP_Var";="0.00261";="0.00298";="0.00265";="0.00249"
="";="(0.48)";="(0.53)";="(0.49)";="(0.46)"
="PCPIPCH";="-0.00656";="-0.00959";="-0.00667";="-0.00477"
="";="(-0.23)";="(-0.33)";="(-0.22)";="(-0.17)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.127";="";="";=""
="";="(0.33)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.364";="";=""
="";="";="(0.77)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0754";=""
="";="";="";="(0.14)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0621"
="";="";="";="";="(-0.18)"
="Const";="-1.018***";="-1.040***";="-1.015***";="-0.999***"
="";="(-3.85)";="(-3.90)";="(-3.80)";="(-3.75)"

="lnsig2u";="";="";="";=""
="Const";="0.550";="0.543";="0.552";="0.565"
="";="(1.57)";="(1.56)";="(1.56)";="(1.57)"

="Observations";="746";="746";="746";="746"
="r2_mf";="0.0130";="0.0147";="0.0129";="0.0129"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
