
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="0.00558";="0.00621";="0.00556";="0.00685"
="";="(0.64)";="(0.71)";="(0.64)";="(0.75)"
="NGDP_RPCH";="-0.00570";="-0.0117";="-0.0106";="0.00217"
="";="(-0.20)";="(-0.39)";="(-0.36)";="(0.08)"
="ExtDebtPercGNI_Var";="0.00230";="0.00243";="0.00207";="0.00322"
="";="(0.47)";="(0.50)";="(0.43)";="(0.64)"
="BudgetBal_NGDP_Var";="0.00000548";="0.00000550";="0.00000617";="0.00000528"
="";="(0.39)";="(0.40)";="(0.45)";="(0.38)"
="PCPIPCH";="-0.0150***";="-0.0146***";="-0.0145***";="-0.0173***"
="";="(-2.99)";="(-2.84)";="(-2.93)";="(-3.91)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0369";="";="";=""
="";="(-0.12)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.159";="";=""
="";="";="(0.48)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.166";=""
="";="";="";="(0.51)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.605"
="";="";="";="";="(-1.09)"
="Const";="0.207";="0.0999";="0.0681";="0.714"
="";="(0.88)";="(0.38)";="(0.22)";="(1.36)"

="lnsig2u";="";="";="";=""
="Const";="-0.742";="-0.798";="-0.750";="-0.819"
="";="(-1.06)";="(-1.10)";="(-1.08)";="(-1.23)"

="Observations";="296";="296";="296";="296"
="r2_mf";="0.0204";="0.0218";="0.0213";="0.0269"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
