
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="0.00266";="0.00339";="0.00287";="0.00345"
="";="(0.28)";="(0.35)";="(0.30)";="(0.35)"
="NGDP_RPCH";="-0.0165";="-0.0220";="-0.0204";="-0.0100"
="";="(-0.61)";="(-0.78)";="(-0.74)";="(-0.39)"
="ExtDebtPercGNI_Var";="0.00180";="0.00193";="0.00164";="0.00278"
="";="(0.37)";="(0.40)";="(0.35)";="(0.56)"
="GGXWDG_NGDP_Var";="-0.00940";="-0.00904";="-0.00892";="-0.0116"
="";="(-1.15)";="(-1.09)";="(-1.04)";="(-1.39)"
="PCPIPCH";="-0.0150***";="-0.0146***";="-0.0146***";="-0.0178***"
="";="(-2.99)";="(-2.83)";="(-2.95)";="(-3.96)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0482";="";="";=""
="";="(-0.16)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.146";="";=""
="";="";="(0.44)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.133";=""
="";="";="";="(0.39)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.680"
="";="";="";="";="(-1.18)"
="Const";="0.276";="0.168";="0.153";="0.857"
="";="(1.14)";="(0.60)";="(0.46)";="(1.51)"

="lnsig2u";="";="";="";=""
="Const";="-0.827";="-0.889";="-0.840";="-0.906"
="";="(-1.16)";="(-1.21)";="(-1.18)";="(-1.34)"

="Observations";="296";="296";="296";="296"
="r2_mf";="0.0243";="0.0254";="0.0247";="0.0325"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
