
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="0.00463";="0.00534";="0.00474";="0.00559"
="";="(0.48)";="(0.57)";="(0.50)";="(0.57)"
="NGDP_RPCH";="-0.00816";="-0.0141";="-0.0128";="-0.00100"
="";="(-0.29)";="(-0.47)";="(-0.43)";="(-0.04)"
="ExtDebtPercGNI_Var";="0.00218";="0.00232";="0.00198";="0.00310"
="";="(0.45)";="(0.48)";="(0.41)";="(0.62)"
="GGXWDN_NGDP_Var";="-0.00290";="-0.00271";="-0.00267";="-0.00404"
="";="(-0.62)";="(-0.58)";="(-0.56)";="(-0.85)"
="PCPIPCH";="-0.0147***";="-0.0144***";="-0.0144***";="-0.0171***"
="";="(-2.91)";="(-2.77)";="(-2.85)";="(-3.85)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0433";="";="";=""
="";="(-0.14)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.156";="";=""
="";="";="(0.47)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.156";=""
="";="";="";="(0.47)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.632"
="";="";="";="";="(-1.12)"
="Const";="0.222";="0.113";="0.0871";="0.755"
="";="(0.94)";="(0.42)";="(0.28)";="(1.40)"

="lnsig2u";="";="";="";=""
="Const";="-0.765";="-0.823";="-0.774";="-0.851"
="";="(-1.08)";="(-1.12)";="(-1.09)";="(-1.25)"

="Observations";="296";="296";="296";="296"
="r2_mf";="0.0210";="0.0223";="0.0217";="0.0281"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
