
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0126*";="-0.0127*";="-0.0127*";="-0.0128*"
="";="(-1.79)";="(-1.81)";="(-1.79)";="(-1.80)"
="NGDP_RPCH";="0.000567";="0.00146";="-0.00116";="-0.00673"
="";="(0.03)";="(0.07)";="(-0.05)";="(-0.32)"
="ExtDebtPercGNI_Var";="0.00170";="0.00164";="0.00161";="0.00125"
="";="(0.38)";="(0.37)";="(0.36)";="(0.28)"
="GGXWDN_NGDP_Var";="0.00329";="0.00296";="0.00358";="0.00448"
="";="(0.74)";="(0.66)";="(0.75)";="(0.87)"
="PCPIPCH";="-0.000718";="-0.000745";="-0.000707";="-0.000638"
="";="(-0.62)";="(-0.59)";="(-0.65)";="(-0.73)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.108";="";="";=""
="";="(-0.60)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.185";="";=""
="";="";="(-0.92)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0513";=""
="";="";="";="(0.19)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.461"
="";="";="";="";="(1.11)"
="Const";="-0.199";="-0.139";="-0.292";="-0.637"
="";="(-0.99)";="(-0.67)";="(-1.01)";="(-1.53)"

="lnsig2u";="";="";="";=""
="Const";="-0.379";="-0.381";="-0.381";="-0.370"
="";="(-1.01)";="(-1.01)";="(-1.02)";="(-1.00)"

="Observations";="370";="370";="370";="370"
="r2_mf";="0.0164";="0.0176";="0.0159";="0.0205"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
