
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="-0.000970";="-0.000479";="-0.00302";="-0.00107"
="";="(-0.10)";="(-0.05)";="(-0.34)";="(-0.12)"
="NGDP_RPCH";="-0.0230";="-0.0262";="-0.0124";="-0.0193"
="";="(-0.72)";="(-0.77)";="(-0.39)";="(-0.62)"
="ExtDebtPercGNI_Var";="0.00522";="0.00526";="0.00499";="0.00545"
="";="(0.93)";="(0.92)";="(0.91)";="(0.96)"
="BudgetBal_NGDP_Var";="0.000248";="0.000246";="0.000237";="0.000244"
="";="(1.31)";="(1.21)";="(1.27)";="(1.28)"
="PCPIPCH";="-0.00546";="-0.00541";="-0.00568";="-0.00561"
="";="(-0.64)";="(-0.63)";="(-0.67)";="(-0.64)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0350";="";="";=""
="";="(-0.11)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0774";="";=""
="";="";="(0.18)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.455";=""
="";="";="";="(-1.19)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.351"
="";="";="";="";="(-0.77)"
="Const";="-0.131";="-0.187";="0.150";="0.142"
="";="(-0.48)";="(-0.58)";="(0.49)";="(0.31)"

="lnsig2u";="";="";="";=""
="Const";="0.177";="0.234";="0.0324";="0.0725"
="";="(0.35)";="(0.44)";="(0.07)";="(0.16)"

="Observations";="238";="238";="238";="238"
="r2_mf";="0.0174";="0.0176";="0.0268";="0.0202"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
