
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="0.00256";="0.00250";="0.00298";="0.00348"
="";="(0.27)";="(0.27)";="(0.32)";="(0.38)"
="NGDP_RPCH";="-0.00689";="-0.00697";="-0.00724";="-0.00901"
="";="(-0.56)";="(-0.55)";="(-0.57)";="(-0.72)"
="ExtDebtPercGNI_Var";="0.000799";="0.000382";="0.000273";="0.000870"
="";="(0.18)";="(0.08)";="(0.06)";="(0.19)"
="BudgetBal_NGDP_Var";="-0.000113*";="-0.000112";="-0.000130*";="-0.000121*"
="";="(-1.66)";="(-1.60)";="(-1.79)";="(-1.72)"
="PCPIPCH";="-0.000703";="-0.000716";="-0.000714";="-0.000706"
="";="(-1.51)";="(-1.54)";="(-1.54)";="(-1.46)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.317";="";="";=""
="";="(-1.01)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.435";="";=""
="";="";="(-1.50)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.477";=""
="";="";="";="(-1.28)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.384"
="";="";="";="";="(-0.69)"
="Const";="-0.619**";="-0.518*";="-0.443";="-0.450"
="";="(-2.08)";="(-1.74)";="(-1.22)";="(-0.81)"

="lnsig2u";="";="";="";=""
="Const";="0.526";="0.512";="0.466";="0.400"
="";="(1.17)";="(1.16)";="(1.06)";="(0.85)"

="Observations";="376";="376";="376";="376"
="r2_mf";="0.0105";="0.0131";="0.0139";="0.00858"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
