
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="0.00623";="0.00596";="0.00647";="0.00726"
="";="(0.64)";="(0.62)";="(0.67)";="(0.77)"
="NGDP_RPCH";="-0.0152";="-0.0148";="-0.0153";="-0.0175"
="";="(-1.15)";="(-1.10)";="(-1.13)";="(-1.29)"
="ExtDebtPercGNI_Var";="0.000624";="0.000216";="0.000175";="0.000685"
="";="(0.13)";="(0.05)";="(0.04)";="(0.14)"
="GGXWDN_NGDP_Var";="0.00817*";="0.00780*";="0.00757*";="0.00844**"
="";="(1.94)";="(1.92)";="(1.95)";="(1.97)"
="PCPIPCH";="-0.000732";="-0.000746";="-0.000745";="-0.000738"
="";="(-1.47)";="(-1.50)";="(-1.50)";="(-1.42)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.324";="";="";=""
="";="(-1.03)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.434";="";=""
="";="";="(-1.49)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.422";=""
="";="";="";="(-1.22)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.387"
="";="";="";="";="(-0.69)"
="Const";="-0.585*";="-0.489";="-0.452";="-0.418"
="";="(-1.96)";="(-1.64)";="(-1.27)";="(-0.75)"

="lnsig2u";="";="";="";=""
="Const";="0.522";="0.501";="0.462";="0.397"
="";="(1.17)";="(1.14)";="(1.05)";="(0.85)"

="Observations";="376";="376";="376";="376"
="r2_mf";="0.0109";="0.0133";="0.0125";="0.00878"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
