
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00724";="-0.00785";="-0.00794";="-0.00574"
="";="(-0.58)";="(-0.63)";="(-0.66)";="(-0.48)"
="NGDP_RPCH";="-0.0121";="-0.00839";="-0.00219";="-0.0188"
="";="(-0.31)";="(-0.22)";="(-0.05)";="(-0.48)"
="ExtDebtPercGNI_Var";="-0.00615";="-0.00738";="-0.00652";="-0.00618"
="";="(-0.83)";="(-1.04)";="(-0.91)";="(-0.84)"
="GGSB_NPGDP";="0.00530";="0.0102";="0.0204";="0.000685"
="";="(0.16)";="(0.31)";="(0.59)";="(0.02)"
="PCPIPCH";="-0.00108";="-0.00116";="-0.00120";="-0.00108"
="";="(-0.93)";="(-0.76)";="(-0.74)";="(-0.90)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.418";="";="";=""
="";="(-1.12)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.617*";="";=""
="";="";="(-1.83)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.722**";=""
="";="";="";="(-1.99)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.456"
="";="";="";="";="(-0.83)"
="Const";="-0.446";="-0.300";="-0.146";="-0.261"
="";="(-1.25)";="(-0.85)";="(-0.39)";="(-0.48)"

="lnsig2u";="";="";="";=""
="Const";="-0.343";="-0.405";="-0.459";="-0.463"
="";="(-0.47)";="(-0.56)";="(-0.63)";="(-0.59)"

="Observations";="212";="212";="212";="212"
="r2_mf";="0.0201";="0.0296";="0.0361";="0.0168"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
