Country2Code;Year;SP_NumericRating;Moodys_NumericRating;AvgRatingSM;Diff_UP_SM;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
AE;2007;19;19;19.0;0;21.8;0;;0;7.85;0;-215.13;0;3.18;41472.29;0;11.13;0;0;0;0;0;0
AE;2008;19;19;19.0;0;20.08;-7.89;;0;12.53;59.57;-203.04;5.619;3.19;39074.84;-5.781;12.25;0;0;0;0;0;0
AE;2009;19;19;19.0;0;-4.28;-121.3;;0;24.08;92.195;-247.1;-21.7;-5.24;30920.45;-20.869;1.56;0;0;0;0;0;0
AE;2010;19;19;19.0;0;2.01;146.996;;0;22.24;-7.673;-227.97;7.742;1.64;34611.96;11.939;0.88;0;0;0;0;0;0
AE;2011;19;19;19.0;0;6.34;215.423;;0;17.61;-20.822;-201.55;11.588;4.89;40817.4;17.929;0.88;0;0;0;0;0;0
AE;2012;19;19;19.0;0;10.88;71.53;;0;17.04;-3.243;-208.99;-3.69;7.22;42591.17;4.346;0.67;0;0;0;0;0;0
AE;2013;19;19;19.0;0;10.43;-4.074;;0;15.87;-6.815;-216.11;-3.407;4.32;42874.6;0.665;1.1;0;0;0;0;0;0
AE;2014;19;19;19.0;0;4.98;-52.234;;0;15.68;-1.21;-223.26;-3.305;4.57;42943.78;0.161;2.35;0;0;0;0;0;0
AE;2015;19;19;19.0;0;-4.88;-197.913;;0;19.42;23.83;-258.81;-15.926;3.93;36060.02;-16.03;4.07;0;0;0;0;0;0
AU;1980;21;21;21.0;0;0;0;0;0;0;0;0;0;2.89;11000.99;0;10.14;0;0;0;0;0;0
AU;1981;21;21;21.0;0;0;0;0;0;0;0;0;0;4.13;12521;13.817;9.49;0;0;0;0;0;0
AU;1982;21;21;21.0;0;0;0;0;0;0;0;0;0;0.06;12227.53;-2.344;11.35;0;0;0;0;0;0
AU;1983;21;21;21.0;0;0;0;0;0;0;0;0;0;-0.47;11585.13;-5.254;10.04;0;0;0;0;0;0
AU;1984;21;21;21.0;0;0;0;0;0;0;0;0;0;6.35;12567.63;8.481;3.96;0;0;0;0;0;0
AU;1985;21;21;21.0;0;0;0;0;0;0;0;0;0;5.46;10961.08;-12.783;6.74;0;0;0;0;0;0
AU;1986;20;20;20.0;0;0;0;0;0;0;0;0;0;2.45;11238.55;2.531;9.05;0;0;0;0;0;0
AU;1987;20;20;20.0;0;0;0;0;0;0;0;0;0;4.89;12990.96;15.593;8.53;0;0;0;0;0;0
AU;1988;20;20;20.0;0;1;0;0;0;0;0;0;0;4.25;16181.08;24.556;7.27;0;0;0;0;0;0
AU;1989;19;19;19.0;0;1.43;43.33;0;0;17.06;0;9.94;0;4.6;18133.5;12.066;7.58;0;0;0;0;0;0
AU;1990;19;19;19.0;0;0.29;-80.056;-0.28;0;16.46;-3.535;9.59;-3.54;1.51;18812.84;3.746;7.23;0;0;0;0;0;0
AU;1991;19;19;19.0;0;-2.23;-882.807;-2;-611.744;21.64;31.486;12.61;31.485;-1.1;18641.33;-0.912;3.31;0;0;0;0;0;0
AU;1992;19;19;19.0;0;-4.17;-87.001;-3.72;-85.8;27.66;27.833;18.23;44.577;2.65;18074.78;-3.039;0.97;0;0;0;0;0;0
AU;1993;19;19;19.0;0;-4.15;0.575;-3.95;-6.351;30.66;10.854;22.05;20.917;3.96;17440.46;-3.509;1.75;0;0;0;0;0;0
AU;1994;19;19;19.0;0;-3.23;22.203;-3.18;19.585;31.77;3.62;23.28;5.574;4.87;19696.73;12.937;1.93;0;0;0;0;0;0
AU;1995;19;19;19.0;0;-2.03;37.031;-1.99;37.319;31.13;-2.011;23.07;-0.906;2.97;20930.5;6.264;4.63;0;0;0;0;0;0
AU;1996;19;19;19.0;0;-0.89;56.348;-0.81;59.137;29.31;-5.837;21.3;-7.665;4.28;23181.66;10.755;2.65;0;0;0;0;0;0
AU;1997;19;19;19.0;0;0.06;107.103;0.12;115.111;25.93;-11.561;18.19;-14.588;4.31;22962.71;-0.944;0.23;0;0;0;0;0;0
AU;1998;19;19;19.0;0;0.34;442.857;0.19;50.407;23.76;-8.366;14.66;-19.394;4.65;20307.16;-11.565;0.86;0;0;0;0;0;0
AU;1999;20;19;19.5;1;1.28;274.561;0.94;409.73;22.58;-4.967;11.04;-24.695;4.31;21739.39;7.053;1.41;0;0;0;0;0;0
AU;2000;20;19;19.5;1;1.85;44.731;1.33;41.039;19.57;-13.315;7.15;-35.256;3.19;20744.4;-4.577;4.46;0;0;0;0;0;0
AU;2001;20;19;19.5;1;-0.04;-101.996;0.13;-90;17.18;-12.213;4.7;-34.201;2.49;19405.48;-6.454;4.41;0;0;0;0;0;0
AU;2003;21;21;21.0;0;0.95;565.035;1.03;241.528;13.22;-12.235;0.76;-72.714;2.97;27087.87;25.371;2.76;92.61;0;0;0;0;0
AU;2004;21;21;21.0;0;1.33;39.537;1.26;22.471;11.94;-9.66;-1.23;-262.914;4.06;32710.87;20.758;2.31;85.15;-8.06;0;0;0;0
AU;2005;21;21;21.0;0;1.71;29.013;1.68;33.201;10.89;-8.8;-3.81;-210.081;3.19;36135.28;10.469;2.66;79.88;-6.188;0;0;0;0
AU;2006;21;21;21.0;0;1.78;3.738;1.71;2.027;9.97;-8.502;-6.32;-65.784;2.69;37853.46;4.755;3.55;89.21;11.68;0;0;0;0
AU;2007;21;21;21.0;0;1.48;-16.836;1.23;-28.054;9.68;-2.85;-7.27;-14.993;4.49;45031;18.961;2.36;100.76;12.947;0;0;0;0
AU;2008;21;21;21.0;0;-1.1;-174.543;-1.38;-212.348;11.74;21.287;-5.29;27.19;2.63;48242.94;7.133;4.35;79.15;-21.447;0;0;0;0
AU;2009;21;21;21.0;0;-4.56;-313.806;-4.48;-223.861;16.75;42.596;-0.6;88.723;1.76;44928.14;-6.871;1.77;116.37;47.027;0;0;0;0
AU;2010;21;21;21.0;0;-5.1;-12.006;-4.89;-9.265;20.48;22.305;3.93;757.789;2.3;56194.75;25.077;2.86;106.91;-8.13;0;0;0;0
AU;2011;21;21;21.0;0;-4.47;12.444;-4.21;13.956;24.2;18.164;8.06;105.297;2.68;66721.6;18.733;3.33;96.83;-9.429;0;0;0;0
AU;2012;21;21;21.0;0;-3.47;22.247;-3.19;24.294;27.8;14.864;11.21;39.01;3.55;68002.65;1.92;1.71;93.85;-3.078;0;0;0;0
AU;2013;21;21;21.0;0;-2.8;19.372;-2.42;24.122;30.82;10.886;13.2;17.801;2.04;64464.06;-5.204;2.48;90.13;-3.961;0;0;0;0
AU;2014;21;21;21.0;0;-2.89;-3.142;-2.38;1.778;34.14;10.761;15.72;19.088;2.62;61062.61;-5.277;2.46;99.29;10.162;0;0;0;0
AU;2015;21;21;21.0;0;-2.77;4.05;-2.16;9.217;36.83;7.871;17.9;13.866;2.48;50961.87;-16.542;1.53;107.33;8.102;0;0;0;0
AT;1980;21;21;21.0;0;0;0;0;0;0;0;0;0;2.31;10707.97;0;6.33;0;0;0;0;0;0
AT;1981;21;21;21.0;0;0;0;0;0;0;0;0;0;-0.1;9259.98;-13.522;6.81;0;0;0;0;0;0
AT;1982;21;21;21.0;0;0;0;0;0;0;0;0;0;1.91;9246.95;-0.141;5.44;0;0;0;0;0;0
AT;1983;21;21;21.0;0;0;0;0;0;0;0;0;0;2.8;9396.19;1.614;3.34;0;0;0;0;0;0
AT;1984;21;21;21.0;0;0;0;0;0;0;0;0;0;0.33;8862.78;-5.677;5.67;0;0;0;0;0;0
AT;1985;21;21;21.0;0;0;0;0;0;0;0;0;0;2.24;9070.48;2.344;3.19;0;0;0;0;0;0
AT;1986;21;21;21.0;0;0;0;0;0;0;0;0;0;2.34;12857.29;41.749;1.74;0;0;0;0;0;0
AT;1987;21;21;21.0;0;0;0;0;0;0;0;0;0;1.68;16057.05;24.887;1.41;0;0;0;0;0;0
