
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00626";="-0.00632";="-0.00646";="-0.00667"
="";="(-0.83)";="(-0.82)";="(-0.86)";="(-0.91)"
="NGDP_RPCH";="-0.0135";="-0.0134";="-0.0122";="-0.00937"
="";="(-0.32)";="(-0.32)";="(-0.29)";="(-0.22)"
="ExtDebtPercGNI_Var";="-0.00944";="-0.00949";="-0.00940";="-0.00927"
="";="(-1.28)";="(-1.35)";="(-1.32)";="(-1.31)"
="GGXWDG_NGDP_Var";="-0.00965";="-0.00970";="-0.00991";="-0.0107*"
="";="(-1.42)";="(-1.44)";="(-1.48)";="(-1.73)"
="PCPIPCH";="0.00554";="0.00588";="0.00754";="0.0123"
="";="(0.12)";="(0.12)";="(0.16)";="(0.27)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.0356";="";="";=""
="";="(0.09)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.00651";="";=""
="";="";="(-0.02)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0961";=""
="";="";="";="(-0.27)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.402"
="";="";="";="";="(-0.91)"

="cut1";="";="";="";=""
="Const";="1.397***";="1.394***";="1.388***";="1.345***"
="";="(3.96)";="(3.98)";="(4.03)";="(3.88)"

="cut2";="";="";="";=""
="Const";="2.322***";="2.319***";="2.314***";="2.280***"
="";="(5.72)";="(5.76)";="(5.85)";="(5.77)"

="cut3";="";="";="";=""
="Const";="3.127***";="3.125***";="3.122***";="3.100***"
="";="(6.05)";="(6.11)";="(6.15)";="(6.10)"

="sigma2_u";="";="";="";=""
="Const";="1.064***";="1.067***";="1.081***";="1.165***"
="";="(2.94)";="(2.95)";="(2.93)";="(2.70)"

="Observations";="555";="555";="555";="555"
="r2_mf";="0.00748";="0.00747";="0.00764";="0.0111"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
