
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00297";="-0.00298";="-0.00307";="-0.00308"
="";="(-0.39)";="(-0.39)";="(-0.41)";="(-0.43)"
="NGDP_RPCH";="0.0115";="0.0115";="0.0126";="0.0182"
="";="(0.31)";="(0.31)";="(0.33)";="(0.47)"
="ExtDebtPercGNI_Var";="-0.00840";="-0.00850";="-0.00843";="-0.00822"
="";="(-1.20)";="(-1.27)";="(-1.24)";="(-1.21)"
="GGXWDN_NGDP_Var";="0.0000129";="0.0000129";="0.0000128";="0.0000129"
="";="(1.64)";="(1.64)";="(1.59)";="(1.60)"
="PCPIPCH";="0.00468";="0.00497";="0.00599";="0.0113"
="";="(0.10)";="(0.10)";="(0.12)";="(0.24)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.0656";="";="";=""
="";="(0.17)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0261";="";=""
="";="";="(0.06)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0437";=""
="";="";="";="(-0.12)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.371"
="";="";="";="";="(-0.85)"

="cut1";="";="";="";=""
="Const";="1.514***";="1.512***";="1.509***";="1.475***"
="";="(4.20)";="(4.22)";="(4.26)";="(4.15)"

="cut2";="";="";="";=""
="Const";="2.438***";="2.436***";="2.433***";="2.408***"
="";="(5.93)";="(5.96)";="(6.04)";="(6.04)"

="cut3";="";="";="";=""
="Const";="3.246***";="3.244***";="3.243***";="3.230***"
="";="(6.17)";="(6.22)";="(6.25)";="(6.26)"

="sigma2_u";="";="";="";=""
="Const";="1.081***";="1.083***";="1.091***";="1.169***"
="";="(2.96)";="(2.96)";="(2.95)";="(2.73)"

="Observations";="555";="555";="555";="555"
="r2_mf";="0.00608";="0.00604";="0.00607";="0.00912"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
