
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0149*";="-0.0150*";="-0.0154*";="-0.0143"
="";="(-1.69)";="(-1.70)";="(-1.72)";="(-1.61)"
="NGDP_RPCH";="0.0294";="0.0298";="0.0282";="0.0302"
="";="(0.72)";="(0.73)";="(0.68)";="(0.74)"
="ExtDebtPercGNI_Var";="0.0000668";="0.000100";="0.000259";="0.000133"
="";="(0.02)";="(0.03)";="(0.07)";="(0.04)"
="GGXWDG_NGDP_Var";="0.00648";="0.00646";="0.00648";="0.00617"
="";="(1.53)";="(1.53)";="(1.54)";="(1.43)"
="PCPIPCH";="0.0472";="0.0501";="0.0522";="0.0595"
="";="(1.32)";="(1.34)";="(1.31)";="(1.39)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.687";="";="";=""
="";="(1.53)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.444";="";=""
="";="";="(1.02)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.344";=""
="";="";="";="(1.03)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.447"
="";="";="";="";="(-1.30)"

="cut1";="";="";="";=""
="Const";="1.880***";="1.864***";="1.878***";="1.712***"
="";="(5.38)";="(5.27)";="(5.21)";="(5.03)"

="cut2";="";="";="";=""
="Const";="3.507***";="3.486***";="3.499***";="3.328***"
="";="(9.12)";="(9.05)";="(8.96)";="(9.12)"

="sigma2_u";="";="";="";=""
="Const";="1.440***";="1.424***";="1.462***";="1.360***"
="";="(2.98)";="(3.01)";="(2.99)";="(3.07)"

="Observations";="759";="759";="759";="759"
="r2_mf";="0.0277";="0.0254";="0.0248";="0.0267"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
