
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00533";="-0.00527";="-0.00505";="-0.00450"
="";="(-0.68)";="(-0.67)";="(-0.64)";="(-0.57)"
="NGDP_RPCH";="0.0416";="0.0417";="0.0425";="0.0408"
="";="(1.50)";="(1.51)";="(1.55)";="(1.51)"
="ExtDebtPercGNI_Var";="0.00902";="0.00902";="0.00895";="0.00943"
="";="(1.40)";="(1.39)";="(1.34)";="(1.44)"
="BudgetBal_NGDP_Var";="0.000178***";="0.000178***";="0.000176***";="0.000178***"
="";="(3.10)";="(3.11)";="(3.09)";="(3.11)"
="PCPIPCH";="-0.0403";="-0.0414";="-0.0426";="-0.0414"
="";="(-1.27)";="(-1.29)";="(-1.30)";="(-1.27)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.558**";="";="";=""
="";="(-2.47)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.411*";="";=""
="";="";="(-1.71)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.377";=""
="";="";="";="(-1.34)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.401"
="";="";="";="";="(-1.24)"

="cut1";="";="";="";=""
="Const";="0.767***";="0.772***";="0.760***";="0.721***"
="";="(2.88)";="(2.91)";="(2.92)";="(2.75)"

="cut2";="";="";="";=""
="Const";="2.034***";="2.036***";="2.022***";="1.983***"
="";="(7.71)";="(7.72)";="(7.76)";="(7.49)"

="cut3";="";="";="";=""
="Const";="3.270***";="3.269***";="3.254***";="3.220***"
="";="(9.50)";="(9.50)";="(9.48)";="(9.21)"

="cut4";="";="";="";=""
="Const";="4.197***";="4.196***";="4.181***";="4.149***"
="";="(7.76)";="(7.77)";="(7.77)";="(7.68)"

="sigma2_u";="";="";="";=""
="Const";="1.545***";="1.517***";="1.508***";="1.500***"
="";="(3.31)";="(3.33)";="(3.36)";="(3.34)"

="Observations";="795";="795";="795";="795"
="r2_mf";="0.0232";="0.0222";="0.0222";="0.0228"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
