
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00419";="-0.00413";="-0.00394";="-0.00335"
="";="(-0.54)";="(-0.53)";="(-0.51)";="(-0.43)"
="NGDP_RPCH";="0.0467*";="0.0466*";="0.0471*";="0.0456*"
="";="(1.73)";="(1.73)";="(1.76)";="(1.73)"
="ExtDebtPercGNI_Var";="0.00861";="0.00859";="0.00850";="0.00898"
="";="(1.35)";="(1.34)";="(1.30)";="(1.39)"
="GGXWDN_NGDP_Var";="0.000191";="0.000147";="0.000120";="0.000117"
="";="(0.35)";="(0.46)";="(0.57)";="(0.84)"
="PCPIPCH";="-0.0406";="-0.0417";="-0.0429";="-0.0417"
="";="(-1.26)";="(-1.28)";="(-1.29)";="(-1.26)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.612***";="";="";=""
="";="(-2.70)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.452*";="";=""
="";="";="(-1.89)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.377";=""
="";="";="";="(-1.39)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.404"
="";="";="";="";="(-1.24)"

="cut1";="";="";="";=""
="Const";="0.776***";="0.782***";="0.772***";="0.733***"
="";="(2.92)";="(2.95)";="(2.96)";="(2.79)"

="cut2";="";="";="";=""
="Const";="2.034***";="2.036***";="2.024***";="1.986***"
="";="(7.76)";="(7.77)";="(7.81)";="(7.52)"

="cut3";="";="";="";=""
="Const";="3.263***";="3.262***";="3.249***";="3.215***"
="";="(9.50)";="(9.52)";="(9.50)";="(9.21)"

="cut4";="";="";="";=""
="Const";="4.188***";="4.187***";="4.174***";="4.142***"
="";="(7.77)";="(7.78)";="(7.79)";="(7.69)"

="sigma2_u";="";="";="";=""
="Const";="1.534***";="1.504***";="1.486***";="1.479***"
="";="(3.31)";="(3.32)";="(3.34)";="(3.33)"

="Observations";="795";="795";="795";="795"
="r2_mf";="0.0203";="0.0192";="0.0188";="0.0194"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
