
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00486";="-0.00485";="-0.00470";="-0.00423"
="";="(-0.60)";="(-0.60)";="(-0.58)";="(-0.52)"
="NGDP_RPCH";="0.0488";="0.0489";="0.0493";="0.0473"
="";="(1.61)";="(1.61)";="(1.63)";="(1.62)"
="ExtDebtPercGNI_Var";="0.00675";="0.00671";="0.00659";="0.00701"
="";="(1.07)";="(1.06)";="(1.02)";="(1.09)"
="GGSB_NPGDP";="-0.0521";="-0.0515";="-0.0495";="-0.0480"
="";="(-1.38)";="(-1.38)";="(-1.32)";="(-1.29)"
="PCPIPCH";="-0.0318";="-0.0337";="-0.0356";="-0.0347"
="";="(-0.91)";="(-0.94)";="(-0.96)";="(-0.94)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.577**";="";="";=""
="";="(-2.37)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.413*";="";=""
="";="";="(-1.71)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.331";=""
="";="";="";="(-1.18)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.314"
="";="";="";="";="(-0.92)"

="cut1";="";="";="";=""
="Const";="0.866***";="0.867***";="0.851***";="0.819***"
="";="(3.15)";="(3.16)";="(3.18)";="(3.08)"

="cut2";="";="";="";=""
="Const";="2.167***";="2.164***";="2.144***";="2.113***"
="";="(8.19)";="(8.20)";="(8.30)";="(8.12)"

="cut3";="";="";="";=""
="Const";="3.300***";="3.295***";="3.274***";="3.248***"
="";="(7.98)";="(7.99)";="(7.95)";="(7.72)"

="cut4";="";="";="";=""
="Const";="4.202***";="4.197***";="4.177***";="4.152***"
="";="(6.91)";="(6.93)";="(6.92)";="(6.82)"

="sigma2_u";="";="";="";=""
="Const";="1.428***";="1.401***";="1.387***";="1.383***"
="";="(3.25)";="(3.26)";="(3.29)";="(3.27)"

="Observations";="743";="743";="743";="743"
="r2_mf";="0.0171";="0.0160";="0.0156";="0.0157"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
