
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.0173*";="0.0172*";="0.0174*";="0.0174*"
="";="(1.71)";="(1.71)";="(1.72)";="(1.71)"
="NGDP_RPCH";="-0.0394";="-0.0394";="-0.0381";="-0.0389"
="";="(-1.26)";="(-1.26)";="(-1.21)";="(-1.24)"
="ExtDebtPercGNI_Var";="0.00743";="0.00739";="0.00738";="0.00751"
="";="(1.46)";="(1.44)";="(1.41)";="(1.47)"
="BudgetBal_NGDP_Var";="-0.0000328";="-0.0000336";="-0.0000316";="-0.0000256"
="";="(-0.88)";="(-0.82)";="(-0.75)";="(-0.60)"
="PCPIPCH";="-0.104***";="-0.103**";="-0.103**";="-0.104**"
="";="(-2.59)";="(-2.55)";="(-2.52)";="(-2.56)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.267";="";="";=""
="";="(-0.61)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.349";="";=""
="";="";="(-0.96)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.406";=""
="";="";="";="(-1.10)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0967"
="";="";="";="";="(-0.27)"

="cut1";="";="";="";=""
="Const";="0.594**";="0.585**";="0.568**";="0.593**"
="";="(2.16)";="(2.15)";="(2.09)";="(2.12)"

="cut2";="";="";="";=""
="Const";="1.980***";="1.971***";="1.956***";="1.978***"
="";="(6.87)";="(6.88)";="(6.80)";="(6.70)"

="cut3";="";="";="";=""
="Const";="3.019***";="3.009***";="2.991***";="3.018***"
="";="(9.35)";="(9.29)";="(9.14)";="(8.97)"

="cut4";="";="";="";=""
="Const";="3.554***";="3.543***";="3.526***";="3.553***"
="";="(8.77)";="(8.74)";="(8.65)";="(8.61)"

="cut5";="";="";="";=""
="Const";="4.262***";="4.251***";="4.235***";="4.261***"
="";="(9.86)";="(9.83)";="(9.74)";="(9.72)"

="sigma2_u";="";="";="";=""
="Const";="1.770***";="1.768***";="1.797***";="1.776***"
="";="(3.39)";="(3.41)";="(3.42)";="(3.38)"

="Observations";="665";="665";="665";="665"
="r2_mf";="0.0292";="0.0298";="0.0306";="0.0287"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
