
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00882";="-0.00847";="-0.00896";="-0.00933"
="";="(-1.23)";="(-1.22)";="(-1.30)";="(-1.31)"
="NGDP_RPCH";="-0.0222";="-0.0240";="-0.0217";="-0.0196"
="";="(-0.86)";="(-0.96)";="(-0.86)";="(-0.75)"
="ExtDebtPercGNI_Var";="-0.00538";="-0.00573";="-0.00544";="-0.00538"
="";="(-0.98)";="(-1.05)";="(-0.98)";="(-0.96)"
="GGXWDG_NGDP_Var";="-0.00150";="-0.00121";="-0.00146";="-0.00170"
="";="(-0.29)";="(-0.23)";="(-0.28)";="(-0.34)"
="PCPIPCH";="-0.0318";="-0.0335";="-0.0313";="-0.0283"
="";="(-0.92)";="(-0.95)";="(-0.86)";="(-0.78)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.424";="";="";=""
="";="(0.96)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.422";="";=""
="";="";="(0.99)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0977";=""
="";="";="";="(0.29)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0647"
="";="";="";="";="(-0.18)"

="cut1";="";="";="";=""
="Const";="1.268***";="1.267***";="1.234***";="1.217***"
="";="(5.18)";="(5.25)";="(5.26)";="(5.20)"

="cut2";="";="";="";=""
="Const";="2.783***";="2.786***";="2.747***";="2.729***"
="";="(7.82)";="(8.00)";="(8.02)";="(8.03)"

="sigma2_u";="";="";="";=""
="Const";="1.306***";="1.302***";="1.271***";="1.285***"
="";="(3.46)";="(3.46)";="(3.40)";="(3.30)"

="Observations";="773";="773";="773";="773"
="r2_mf";="0.0117";="0.0124";="0.00944";="0.00933"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
