
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00655";="-0.00591";="-0.00659";="-0.00683"
="";="(-1.26)";="(-1.16)";="(-1.27)";="(-1.30)"
="NGDP_RPCH";="-0.00168";="-0.00462";="-0.00152";="0.00186"
="";="(-0.06)";="(-0.17)";="(-0.06)";="(0.07)"
="ExtDebtPercGNI_Var";="-0.0125*";="-0.0127*";="-0.0125*";="-0.0125*"
="";="(-1.88)";="(-1.93)";="(-1.88)";="(-1.88)"
="GGXWDG_NGDP_Var";="0.000197";="0.000444";="0.000182";="0.000113"
="";="(0.06)";="(0.12)";="(0.05)";="(0.03)"
="PCPIPCH";="-0.0211";="-0.0243";="-0.0209";="-0.0190"
="";="(-0.67)";="(-0.74)";="(-0.62)";="(-0.60)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.0269";="";="";=""
="";="(0.10)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.300";="";=""
="";="";="(0.74)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0000775";=""
="";="";="";="(0.00)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.206"
="";="";="";="";="(-0.53)"

="cut1";="";="";="";=""
="Const";="0.902***";="0.925***";="0.901***";="0.867***"
="";="(3.60)";="(3.70)";="(3.57)";="(3.40)"

="cut2";="";="";="";=""
="Const";="1.982***";="2.008***";="1.980***";="1.950***"
="";="(6.64)";="(6.89)";="(6.69)";="(6.52)"

="cut3";="";="";="";=""
="Const";="2.609***";="2.635***";="2.607***";="2.579***"
="";="(6.94)";="(7.14)";="(6.95)";="(6.91)"

="cut4";="";="";="";=""
="Const";="3.292***";="3.316***";="3.290***";="3.269***"
="";="(6.43)";="(6.53)";="(6.41)";="(6.35)"

="cut5";="";="";="";=""
="Const";="3.480***";="3.504***";="3.478***";="3.457***"
="";="(6.17)";="(6.29)";="(6.17)";="(6.09)"

="cut6";="";="";="";=""
="Const";="4.259***";="4.285***";="4.257***";="4.235***"
="";="(8.92)";="(9.10)";="(8.93)";="(8.81)"

="sigma2_u";="";="";="";=""
="Const";="1.340***";="1.334***";="1.342***";="1.374***"
="";="(3.49)";="(3.49)";="(3.44)";="(3.33)"

="Observations";="746";="746";="746";="746"
="r2_mf";="0.00795";="0.00902";="0.00794";="0.00865"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
