
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00967";="-0.00887";="-0.00944";="-0.00984"
="";="(-1.47)";="(-1.36)";="(-1.44)";="(-1.50)"
="NGDP_RPCH";="0.00957";="0.00389";="0.00664";="0.0104"
="";="(0.28)";="(0.11)";="(0.19)";="(0.29)"
="ExtDebtPercGNI_Var";="-0.0151*";="-0.0156**";="-0.0154**";="-0.0152*"
="";="(-1.90)";="(-1.99)";="(-1.97)";="(-1.91)"
="GGSB_NPGDP";="-0.0684";="-0.0710";="-0.0698";="-0.0682"
="";="(-1.42)";="(-1.46)";="(-1.43)";="(-1.41)"
="PCPIPCH";="-0.0241";="-0.0297";="-0.0266";="-0.0228"
="";="(-0.82)";="(-0.94)";="(-0.82)";="(-0.77)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.122";="";="";=""
="";="(0.39)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.467";="";=""
="";="";="(1.04)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.182";=""
="";="";="";="(0.34)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.00880"
="";="";="";="";="(0.02)"

="cut1";="";="";="";=""
="Const";="1.067***";="1.086***";="1.069***";="1.063***"
="";="(3.85)";="(3.88)";="(3.80)";="(3.75)"

="cut2";="";="";="";=""
="Const";="2.284***";="2.311***";="2.287***";="2.279***"
="";="(6.21)";="(6.32)";="(6.20)";="(6.21)"

="cut3";="";="";="";=""
="Const";="2.955***";="2.987***";="2.959***";="2.951***"
="";="(5.61)";="(5.72)";="(5.60)";="(5.61)"

="cut4";="";="";="";=""
="Const";="3.572***";="3.600***";="3.572***";="3.569***"
="";="(6.73)";="(6.63)";="(6.61)";="(6.62)"

="sigma2_u";="";="";="";=""
="Const";="1.061***";="1.048***";="1.045***";="1.069***"
="";="(3.06)";="(3.02)";="(2.98)";="(2.87)"

="Observations";="672";="672";="672";="672"
="r2_mf";="0.0236";="0.0266";="0.0240";="0.0235"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
