Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_DW_SF;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
DO;2003;4;7;5.5;3;-5.91;-238.545;-4.66;-144.976;34.11;106.265;34.11;106.265;-0.25;2574.86;-21.346;27.45;36.6;40.208;1;1;1;1
DO;2004;2;5;3.5;3;-3.32;43.834;-2.7;42.109;22.5;-34.033;22.5;-34.033;1.3;2637.9;2.448;51.46;38.66;5.637;1;1;1;1
DO;2006;7;7;7.0;0;-0.93;-133.167;-1.15;-162.045;19.42;-8.765;19.42;-8.765;10.66;4216.93;4.758;7.57;27.04;11.959;1;1;1;1
DO;2008;7;7;7.0;0;-3.26;-3174.528;-3.9;-2854.545;19.6;11.896;19.6;11.896;3.14;5180.17;8.076;10.64;22.86;-10.89;1;1;1;1
DO;2009;7;7;7.0;0;-3.03;7.088;-2.41;38.282;22.73;15.947;22.73;15.947;0.94;5131.67;-0.936;1.44;25.51;11.591;1;1;1;1
DO;2010;7;7;7.0;0;-2.74;9.676;-3.17;-31.865;23.75;4.505;23.75;4.505;8.3;5676.27;10.613;6.33;25.68;0.666;1;1;1;1
DO;2014;8;8;8.0;0;-3.03;14.679;-3.1;-5.692;34.38;-0.639;34.38;-0.639;7.34;6481.31;3.467;3;44;4.409;1;1;1;1
MA;2007;11;12;11.5;1;-0.13;93.532;-1.19;50.437;51.99;-8.444;50.53;-7.048;3.53;2562.86;13.901;2.04;26.26;-0.122;1;1;1;1
MA;2008;11;12;11.5;1;0.68;637.302;-0.38;68.094;45.44;-12.589;44.73;-11.467;5.92;2967.15;15.775;3.89;22.7;-13.536;1;1;1;1
MA;2009;11;12;11.5;1;-1.76;-360.561;-1.89;-396.579;46.13;1.503;45.45;1.605;4.24;2947.81;-0.652;0.97;26.92;18.575;1;1;1;1
AO;2015;8;8;8.0;0;-4.09;0;;0;62.33;0;;0;3;4100.32;0;10.28;0;0;1;1;1;1
AR;1997;10;10;10.0;0;-1.71;34.769;-1.6;60.144;29.57;-2.679;;0;8.11;9851.19;6.365;0;0;0;0;0;1;1
AR;1998;10;10;10.0;0;-1.7;0.409;-1.93;-20.274;31.87;7.771;;0;3.85;9946.78;0.97;0.93;0;0;0;0;1;1
AR;1999;10;10;10.0;0;-3.45;-102.641;-2.57;-33.091;36.3;13.91;;0;-3.39;9336.53;-6.135;-1.17;0;0;0;0;0;1
AR;2000;9;10;9.5;1;-3.01;12.8;-2.41;5.924;38.08;4.895;;0;-0.79;9263.31;-0.784;-0.94;0;0;0;0;0;1
AR;2001;0;0;0.0;0;-4.91;-63.102;-3.15;-30.282;44.76;17.537;;0;-4.41;8672.46;-6.378;-1.07;0;0;0;0;0;1
AR;2002;0;0;0.0;0;-1.92;60.884;0.21;106.614;137.72;207.695;;0;-10.9;3201.27;-63.087;25.87;0;0;1;1;1;1
AR;2003;0;0;0.0;0;1.06;155.284;1.91;819.231;116.39;-15.482;;0;8.84;4029.42;25.869;13.44;138.18;0;1;1;1;1
AR;2004;0;0;0.0;0;3.21;202.542;3.53;84.467;106.03;-8.903;;0;9.03;4765.42;18.265;4.42;99.39;-28.072;1;1;1;1
AR;2008;6;6;6.0;0;0.43;166.46;0.26;142.581;39.27;-11.541;;0;3.08;10214.98;21.913;8.59;31.5;-18.154;1;1;1;1
AR;2009;6;6;6.0;0;-1.94;-552.214;-0.6;-326.894;47.59;21.196;;0;0.05;9430.85;-7.676;6.27;32.52;3.215;1;1;1;1
AR;2010;7;7;7.0;0;-1.17;39.845;-0.98;-64.274;39.11;-17.81;;0;9.45;11347.32;20.321;10.46;29.31;-9.85;1;1;1;1
AR;2011;7;7;7.0;0;-2.41;-106.084;-3.48;-253.963;35.87;-8.283;;0;8.39;13568.24;19.572;9.78;26.35;-10.104;1;1;1;1
AR;2014;0;2;1.0;2;-4.14;-39.858;-4.37;-19.715;45.1;8.728;;0;0.45;12774.42;-13.333;0;27.27;16.301;1;1;1;1
AR;2015;0;2;1.0;2;-7.37;-78.221;-6.72;-53.751;56.51;25.299;;0;1.2;13588.85;6.375;0;0;-100;1;1;1;1
AZ;2008;11;11;11.0;0;20.6;0;;0;7.3;0;;0;10.8;5212.83;0;20.82;10.25;0;0;0;0;0
AZ;2009;11;11;11.0;0;7.43;-63.915;;0;11.79;61.601;;0;9.3;4933.36;-5.361;1.56;11.66;13.81;0;0;0;0
AZ;2010;11;12;11.5;1;14.33;92.869;;0;11.15;-5.461;;0;4.96;5847.26;18.525;5.67;14.22;21.928;0;0;0;0
BG;1998;7;8;7.5;1;1.23;0;0;0;76.54;0;0;0;4.86;1631.2;0;18.67;79.4;0;1;1;1;1
BG;1999;7;8;7.5;1;0.15;-87.662;0;0;79.44;3.796;0;0;-0.49;1672.9;2.556;2.57;88.99;12.082;1;1;1;1
BG;2000;8;8;8.0;0;-0.61;-500.658;0.95;0;73.89;-6.993;22.25;0;5.01;1613.33;-3.561;10.32;93.64;5.221;1;1;1;1
BG;2002;10;10;10.0;0;-0.62;-5.842;0.5;-56.995;53.54;-20.428;7.75;-52.547;6.02;2085.27;16.411;5.81;73.72;-7.419;1;1;1;1
