
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00118";="-0.000240";="-0.000733";="-0.000389"
="";="(-0.11)";="(-0.02)";="(-0.07)";="(-0.04)"
="NGDP_RPCH";="-0.00970";="-0.0170";="-0.0122";="-0.00277"
="";="(-0.33)";="(-0.55)";="(-0.40)";="(-0.10)"
="ExtDebtPercGNI_Var";="-0.000314";="-0.000123";="-0.000191";="0.000493"
="";="(-0.07)";="(-0.03)";="(-0.05)";="(0.11)"
="GGXWDN_NGDP_Var";="-0.00288";="-0.00271";="-0.00286";="-0.00382"
="";="(-1.06)";="(-0.98)";="(-1.02)";="(-1.32)"
="PCPIPCH";="-0.0110";="-0.0106";="-0.0108";="-0.0133*"
="";="(-1.41)";="(-1.33)";="(-1.40)";="(-1.83)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.104";="";="";=""
="";="(-0.40)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.126";="";=""
="";="";="(0.42)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0218";=""
="";="";="";="(-0.07)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.647"
="";="";="";="";="(-1.51)"

="cut1";="";="";="";=""
="Const";="-0.246";="-0.126";="-0.212";="-0.762*"
="";="(-1.15)";="(-0.49)";="(-0.68)";="(-1.87)"

="cut2";="";="";="";=""
="Const";="1.264***";="1.378***";="1.293***";="0.746*"
="";="(5.06)";="(4.68)";="(3.74)";="(1.87)"

="cut3";="";="";="";=""
="Const";="2.121***";="2.232***";="2.148***";="1.605***"
="";="(9.00)";="(7.84)";="(6.44)";="(3.94)"

="cut4";="";="";="";=""
="Const";="2.780***";="2.886***";="2.805***";="2.261***"
="";="(7.05)";="(6.74)";="(5.73)";="(4.00)"

="sigma2_u";="";="";="";=""
="Const";="0.389**";="0.367*";="0.374*";="0.320*"
="";="(1.97)";="(1.87)";="(1.92)";="(1.88)"

="Observations";="296";="296";="296";="296"
="r2_mf";="0.0101";="0.0103";="0.00949";="0.0162"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
