
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="0.00250";="0.00355";="0.00403";="0.00505"
="";="(0.21)";="(0.31)";="(0.36)";="(0.44)"
="NGDP_RPCH";="-0.00562";="-0.0102";="-0.00896";="-0.00348"
="";="(-0.17)";="(-0.30)";="(-0.27)";="(-0.11)"
="ExtDebtPercGNI_Var";="0.00306";="0.00345";="0.00398";="0.00490"
="";="(0.57)";="(0.66)";="(0.75)";="(0.93)"
="GGSB_NPGDP";="0.0151";="0.0101";="0.00882";="0.00946"
="";="(0.44)";="(0.29)";="(0.24)";="(0.26)"
="PCPIPCH";="-0.0125";="-0.0118";="-0.0119";="-0.0138*"
="";="(-1.58)";="(-1.46)";="(-1.49)";="(-1.76)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.404";="";="";=""
="";="(-1.47)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.123";="";=""
="";="";="(-0.41)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.173";=""
="";="";="";="(-0.48)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.609"
="";="";="";="";="(-1.49)"

="cut1";="";="";="";=""
="Const";="-0.510**";="-0.348";="-0.397";="-0.781**"
="";="(-2.24)";="(-1.36)";="(-1.18)";="(-2.03)"

="cut2";="";="";="";=""
="Const";="0.996***";="1.131***";="1.082***";="0.701*"
="";="(4.02)";="(4.08)";="(2.98)";="(1.83)"

="cut3";="";="";="";=""
="Const";="1.928***";="2.059***";="2.013***";="1.631***"
="";="(8.28)";="(7.71)";="(5.86)";="(4.35)"

="cut4";="";="";="";=""
="Const";="2.527***";="2.657***";="2.609***";="2.224***"
="";="(5.90)";="(5.81)";="(5.03)";="(4.13)"

="sigma2_u";="";="";="";=""
="Const";="0.463*";="0.439*";="0.429*";="0.377*"
="";="(1.89)";="(1.78)";="(1.76)";="(1.73)"

="Observations";="244";="244";="244";="244"
="r2_mf";="0.0207";="0.0127";="0.0128";="0.0186"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
