
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0199**";="-0.0199**";="-0.0199**";="-0.0201**"
="";="(-2.45)";="(-2.43)";="(-2.42)";="(-2.48)"
="NGDP_RPCH";="0.00366";="0.00190";="-0.0000483";="0.00117"
="";="(0.16)";="(0.08)";="(-0.00)";="(0.05)"
="ExtDebtPercGNI_Var";="-0.00735**";="-0.00737**";="-0.00757**";="-0.00759**"
="";="(-2.15)";="(-2.16)";="(-2.11)";="(-2.20)"
="GGSB_NPGDP";="-0.0129";="-0.0149";="-0.0167";="-0.0148"
="";="(-0.41)";="(-0.48)";="(-0.54)";="(-0.49)"
="PCPIPCH";="-0.000286";="-0.000286";="-0.000271";="-0.000284"
="";="(-0.53)";="(-0.53)";="(-0.50)";="(-0.52)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0931";="";="";=""
="";="(-0.44)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0324";="";=""
="";="";="(0.16)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.129";=""
="";="";="";="(0.43)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.0966"
="";="";="";="";="(0.33)"

="cut1";="";="";="";=""
="Const";="0.296";="0.371";="0.448";="0.426"
="";="(1.02)";="(1.27)";="(1.30)";="(1.25)"

="cut2";="";="";="";=""
="Const";="1.551***";="1.629***";="1.708***";="1.685***"
="";="(4.29)";="(4.40)";="(4.52)";="(4.46)"

="cut3";="";="";="";=""
="Const";="2.091***";="2.172***";="2.253***";="2.227***"
="";="(4.88)";="(5.14)";="(5.76)";="(5.07)"

="cut4";="";="";="";=""
="Const";="2.207***";="2.288***";="2.370***";="2.343***"
="";="(4.98)";="(5.26)";="(6.03)";="(5.23)"

="cut5";="";="";="";=""
="Const";="2.275***";="2.356***";="2.438***";="2.411***"
="";="(4.94)";="(5.23)";="(6.04)";="(5.21)"

="cut6";="";="";="";=""
="Const";="2.550***";="2.630***";="2.715***";="2.685***"
="";="(4.64)";="(5.09)";="(6.44)";="(4.98)"

="cut7";="";="";="";=""
="Const";="2.682***";="2.762***";="2.849***";="2.817***"
="";="(4.25)";="(4.66)";="(5.98)";="(4.61)"

="sigma2_u";="";="";="";=""
="Const";="0.464**";="0.485**";="0.502**";="0.484**"
="";="(2.04)";="(2.11)";="(2.11)";="(2.19)"

="Observations";="233";="233";="233";="233"
="r2_mf";="0.0196";="0.0192";="0.0198";="0.0194"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
