
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.00406";="0.00438";="0.00285";="0.00432"
="";="(0.51)";="(0.54)";="(0.36)";="(0.57)"
="NGDP_RPCH";="-0.0174";="-0.0194";="-0.0108";="-0.0177"
="";="(-0.51)";="(-0.56)";="(-0.31)";="(-0.50)"
="ExtDebtPercGNI_Var";="0.00504";="0.00506";="0.00482";="0.00511"
="";="(1.09)";="(1.08)";="(1.05)";="(1.09)"
="GGXWDN_NGDP_Var";="-0.000289";="-0.000321";="-0.000138";="-0.000195"
="";="(-0.04)";="(-0.05)";="(-0.02)";="(-0.03)"
="PCPIPCH";="-0.000805";="-0.000808";="-0.000829";="-0.000815"
="";="(-0.47)";="(-0.48)";="(-0.42)";="(-0.45)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0756";="";="";=""
="";="(-0.36)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.00685";="";=""
="";="";="(-0.03)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.349";=""
="";="";="";="(-1.28)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.153"
="";="";="";="";="(-0.34)"

="cut1";="";="";="";=""
="Const";="0.202";="0.231";="0.0106";="0.111"
="";="(0.87)";="(0.95)";="(0.05)";="(0.30)"

="cut2";="";="";="";=""
="Const";="1.852***";="1.883***";="1.659***";="1.756***"
="";="(5.05)";="(4.74)";="(4.42)";="(3.58)"

="cut3";="";="";="";=""
="Const";="2.786***";="2.817***";="2.587***";="2.688***"
="";="(4.49)";="(4.35)";="(4.04)";="(3.60)"

="cut4";="";="";="";=""
="Const";="2.897***";="2.929***";="2.697***";="2.799***"
="";="(4.32)";="(4.20)";="(3.92)";="(3.56)"

="cut5";="";="";="";=""
="Const";="3.036***";="3.067***";="2.834***";="2.938***"
="";="(4.67)";="(4.54)";="(4.25)";="(3.84)"

="cut6";="";="";="";=""
="Const";="3.492***";="3.524***";="3.291***";="3.396***"
="";="(5.91)";="(5.70)";="(5.40)";="(4.81)"

="sigma2_u";="";="";="";=""
="Const";="1.148**";="1.164**";="1.091**";="1.119**"
="";="(2.25)";="(2.19)";="(2.24)";="(2.16)"

="Observations";="238";="238";="238";="238"
="r2_mf";="0.00590";="0.00568";="0.0106";="0.00615"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
