
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="0.00537";="0.00609";="0.00632";="0.00594"
="";="(0.63)";="(0.71)";="(0.76)";="(0.72)"
="NGDP_RPCH";="0.00208";="-0.00447";="-0.00990";="-0.0103"
="";="(0.07)";="(-0.15)";="(-0.33)";="(-0.36)"
="ExtDebtPercGNI_Var";="0.00395";="0.00418";="0.00399";="0.00377"
="";="(0.87)";="(0.87)";="(0.89)";="(0.85)"
="GGSB_NPGDP";="0.0273";="0.0227";="0.0206";="0.0236"
="";="(0.67)";="(0.55)";="(0.51)";="(0.60)"
="PCPIPCH";="-0.0102";="-0.0102";="-0.0103";="-0.00968"
="";="(-0.97)";="(-0.97)";="(-0.96)";="(-0.90)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.118";="";="";=""
="";="(-0.50)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0648";="";=""
="";="";="(0.25)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.199";=""
="";="";="";="(0.70)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.299"
="";="";="";="";="(0.67)"

="cut1";="";="";="";=""
="Const";="-0.0306";="0.0666";="0.164";="0.260"
="";="(-0.11)";="(0.22)";="(0.49)";="(0.58)"

="cut2";="";="";="";=""
="Const";="1.379***";="1.470***";="1.566***";="1.663***"
="";="(5.11)";="(5.01)";="(4.62)";="(3.69)"

="cut3";="";="";="";=""
="Const";="2.191***";="2.285***";="2.379***";="2.469***"
="";="(6.03)";="(5.72)";="(5.40)";="(4.49)"

="cut4";="";="";="";=""
="Const";="2.756***";="2.848***";="2.938***";="3.023***"
="";="(6.32)";="(6.22)";="(6.12)";="(5.40)"

="cut5";="";="";="";=""
="Const";="3.048***";="3.134***";="3.219***";="3.300***"
="";="(6.22)";="(6.28)";="(6.26)";="(5.72)"

="sigma2_u";="";="";="";=""
="Const";="0.520***";="0.480***";="0.463***";="0.455**"
="";="(2.75)";="(2.67)";="(2.65)";="(2.55)"

="Observations";="254";="254";="254";="254"
="r2_mf";="0.0126";="0.0121";="0.0131";="0.0132"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
